Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
231-MLH1KO-2_S14_L002_R2_001 - polyg	(1, 0.15261802607361402)	(2, 0.1527248211158322)	(3, 0.15317375583034185)	(4, 0.15371761947126764)	(5, 0.1544948500562998)	(6, 0.15521670543425584)	(7, 0.1557506806453466)	(8, 0.15616995007035123)	(9, 0.15664855007436593)	(10, 0.15794037454801224)	(15, 0.15889955224200863)	(20, 0.1593385985266833)	(25, 0.15977131621626353)	(30, 0.16011701572329562)	(35, 0.1604322588664359)	(40, 0.16073049391025993)	(45, 0.16099313060667791)	(50, 0.1612676334188979)	(55, 0.16157219705781636)	(60, 0.16188862681253685)	(65, 0.16217816003810603)	(70, 0.1624633423545479)	(75, 0.16380579558894942)	(80, 0.16453081526445273)	(85, 0.16484843163075338)	(90, 0.16517474981530886)	(95, 0.1663447488333878)	(100, 0.18275242269003067)	(105, 0.31561178380451205)	(110, 0.962694019645739)	(115, 4.2463334443804)	(120, 11.520359733166654)	(125, 19.76309853553343)	(130, 28.9367384734776)	(135, 37.565365339411954)	(140, 42.45338075033208)
231-MLH1KO-2_S2_L001_R1_001 - nextera_transposase_sequence	(1, 0.0014373096480329807)	(2, 0.0014682370357029996)	(3, 0.00146986479294879)	(4, 0.0014991644233730184)	(5, 0.0014991644233730184)	(6, 0.0014991644233730184)	(7, 0.0015056754523561802)	(8, 0.0015056754523561802)	(9, 0.0015252085393056658)	(10, 0.0015460438320517836)	(15, 0.0016153862907224575)	(20, 0.002651616553392668)	(25, 0.023636011863225028)	(30, 0.16475312408123277)	(35, 0.9484606153228409)	(40, 4.6436824739149465)	(45, 12.160883879997698)	(50, 20.361425265546618)	(55, 29.483105686599238)	(60, 37.84836991994462)	(65, 46.00132545017011)	(70, 53.175096772609905)	(75, 59.705760740324834)	(80, 65.30197615264014)	(85, 70.17822802411334)	(90, 74.32018948656989)	(95, 77.86906848108208)	(100, 80.83913718318107)	(105, 83.33128398696088)	(110, 85.42361519610355)	(115, 87.1526726585713)	(120, 88.60562049601603)	(125, 89.79278520040509)	(130, 90.79309183731503)	(135, 91.60641344168076)	(140, 92.04705318804233)
231-MLH1KO-2_S2_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.604411593264744e-05)	(4, 7.487683330636139e-05)	(5, 0.0001302205796632372)	(6, 0.00017417002529957978)	(7, 0.00023928031513119837)	(8, 0.00025067461585173164)	(9, 0.0002946240614880742)	(10, 0.0004186591636173076)	(15, 0.0006491495896212375)	(20, 0.0009486569228466831)	(25, 0.0012803938495387797)	(30, 0.0015945509979763395)	(35, 0.0018846173391762005)	(40, 0.002128455374595612)	(45, 0.002883734736642388)	(50, 0.0035465574871282658)	(55, 0.0038649468044048806)	(60, 0.004200915899936033)	(65, 0.0050401875358655965)	(70, 0.01122599062131852)	(75, 0.08541916588444792)	(80, 0.5073745379244812)	(85, 3.1400371603957153)	(90, 9.5766594065438)	(95, 17.36502693889409)	(100, 26.199686227002267)	(105, 34.837067847949626)	(110, 40.43919983230194)	(115, 41.325668940676096)	(120, 41.56168918359542)	(125, 41.86405811405897)	(130, 42.22864904189721)	(135, 43.359054827779865)	(140, 45.6994409402629)
231-MLH1KO-2_S2_L001_R2_001 - nextera_transposase_sequence	(1, 0.0014047545031171714)	(2, 0.0014324263762956094)	(3, 0.0014356818907871902)	(4, 0.0014649815212114186)	(5, 0.0014649815212114186)	(6, 0.0014666092784572091)	(7, 0.00146986479294879)	(8, 0.00146986479294879)	(9, 0.0014845146081609042)	(10, 0.001511535378441026)	(15, 0.0016078986073918215)	(20, 0.0026395711497738178)	(25, 0.023599224549470162)	(30, 0.16439045976687067)	(35, 0.9480790690244273)	(40, 4.656823358160212)	(45, 12.204283143684965)	(50, 20.425233024030156)	(55, 29.558880390802376)	(60, 37.93111663398294)	(65, 46.09088009611321)	(70, 53.274615897308834)	(75, 59.822026231568465)	(80, 65.43640806584968)	(85, 70.32526301057415)	(90, 74.46883627825545)	(95, 78.01164080827785)	(100, 80.9772631286842)	(105, 83.46518167024236)	(110, 85.55312151588736)	(115, 87.27982882244362)	(120, 88.73044961812978)	(125, 89.91871208200537)	(130, 90.91946602660649)	(135, 91.73544836296617)	(140, 92.1751316391701)
231-MLH1KO-2_S2_L001_R2_001 - polyg	(1, 0.1554752333316763)	(2, 0.15606122594016084)	(3, 0.15690765970797188)	(4, 0.15751481316065172)	(5, 0.1584035686168533)	(6, 0.1591262928339843)	(7, 0.15966508048234093)	(8, 0.1600980639097212)	(9, 0.1605570914530341)	(10, 0.16191105993008265)	(15, 0.1629638933166599)	(20, 0.16343789622663407)	(25, 0.16381162929026755)	(30, 0.164119275409722)	(35, 0.16440152851614204)	(40, 0.16471894117907118)	(45, 0.16499207884491482)	(50, 0.16528377294336047)	(55, 0.16555886391789904)	(60, 0.16585316242793796)	(65, 0.16615787858434994)	(70, 0.1664440383081599)	(75, 0.1677400586272583)	(80, 0.16845659736685523)	(85, 0.16875415139138572)	(90, 0.16909956147894248)	(95, 0.17024159596258906)	(100, 0.18594359345838218)	(105, 0.3156696604703483)	(110, 0.9510520048581391)	(115, 4.1699273085935715)	(120, 11.353653017694274)	(125, 19.543024733022584)	(130, 28.636028954676107)	(135, 37.238203163051374)	(140, 42.11315315427939)
231-MLH1KO-3_S15_L002_R1_001 - nextera_transposase_sequence	(1, 0.0044797363952146915)	(2, 0.004556904999195864)	(3, 0.004556904999195864)	(4, 0.004624180192410218)	(5, 0.004624180192410218)	(6, 0.004626158874563582)	(7, 0.004649903060403943)	(8, 0.0046578177890173956)	(9, 0.004687498021317847)	(10, 0.004736173602290586)	(15, 0.004829963136360011)	(20, 0.00567288173369281)	(25, 0.02010815951534001)	(30, 0.1112430936078119)	(35, 0.6898398312199953)	(40, 3.48506395733898)	(45, 8.643280569531207)	(50, 14.347695769229308)	(55, 20.852627199186493)	(60, 27.125228893951505)	(65, 33.683123313371325)	(70, 39.804072871856114)	(75, 45.834684113683366)	(80, 51.325715855544175)	(85, 56.479919304592954)	(90, 61.11816990579573)	(95, 65.35575794923685)	(100, 69.10091096943395)	(105, 72.4124037410706)	(110, 75.32076495535459)	(115, 77.83378943276091)	(120, 80.03295772141928)	(125, 81.90245223619577)	(130, 83.53147790461043)	(135, 84.90794141707833)	(140, 85.66913727558578)
231-MLH1KO-3_S15_L002_R1_001 - polya	(1, 9.8934107668169e-06)	(2, 2.7701550147087318e-05)	(3, 3.759496091390422e-05)	(4, 6.529651106099153e-05)	(5, 0.00016027325442243375)	(6, 0.00024931395132378584)	(7, 0.00027701550147087316)	(8, 0.0003165891445381408)	(9, 0.00037397092698567875)	(10, 0.0016470550244596775)	(15, 0.00898084255768571)	(20, 0.018052308757995458)	(25, 0.027764472239564277)	(30, 0.03740777758219603)	(35, 0.04971280615753223)	(40, 0.05938579173246443)	(45, 0.06562734671703388)	(50, 0.07067298620811051)	(55, 0.07538185399668466)	(60, 0.07848442761315846)	(65, 0.08151576867211116)	(70, 0.08415414345540588)	(75, 0.08623334266216012)	(80, 0.0881874891568218)	(85, 0.08988836433585297)	(90, 0.09117450773553916)	(95, 0.09237477632976938)	(100, 0.09359324879981057)	(105, 0.09471476584433691)	(110, 0.09590237087278561)	(115, 0.09708166543619019)	(120, 0.09809712511729628)	(125, 0.0991945022395516)	(130, 0.10015653750251689)	(135, 0.10095829951105972)	(140, 0.10146879950662747)
231-MLH1KO-3_S15_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.7808139380270417e-05)	(4, 6.529651106099153e-05)	(5, 0.00015235852580898024)	(6, 0.00021963371902333515)	(7, 0.00028493023008432667)	(8, 0.0003165891445381408)	(9, 0.00036605619837222524)	(10, 0.0005041682126769892)	(15, 0.000823131775799166)	(20, 0.0012192639429025147)	(25, 0.0016783182024828185)	(30, 0.0020989860282878735)	(35, 0.0024990755596979485)	(40, 0.0029371557884526013)	(45, 0.00495264142986854)	(50, 0.006499179400937356)	(55, 0.007012845287950489)	(60, 0.00759536931390067)	(65, 0.008871223566389377)	(70, 0.014328824681796254)	(75, 0.06429885951926571)	(80, 0.36337983289158593)	(85, 2.372853050716315)	(90, 6.827111934524299)	(95, 12.188412568209133)	(100, 18.480436611255122)	(105, 24.863199456226486)	(110, 29.289685161593432)	(115, 30.00827089140106)	(120, 30.18722409256053)	(125, 30.413847704158844)	(130, 30.70700252448184)	(135, 31.63472981332638)	(140, 33.43803266123569)
231-MLH1KO-3_S15_L002_R2_001 - nextera_transposase_sequence	(1, 0.0044302693413806075)	(2, 0.004507437945361779)	(3, 0.004507437945361779)	(4, 0.004578670502882861)	(5, 0.004578670502882861)	(6, 0.004580649185036224)	(7, 0.004604393370876585)	(8, 0.0046123080994900385)	(9, 0.004638030967483762)	(10, 0.004695017013500627)	(15, 0.004856081740784406)	(20, 0.0057096852217453685)	(25, 0.020190472692919927)	(30, 0.1116574296507262)	(35, 0.6918165346912053)	(40, 3.4929300103714604)	(45, 8.661686666658223)	(50, 14.37517847713023)	(55, 20.88714926671622)	(60, 27.16982759821545)	(65, 33.74239196712032)	(70, 39.88266968861558)	(75, 45.94130025694375)	(80, 51.462732471408835)	(85, 56.64029386754163)	(90, 61.29397067054847)	(95, 65.54358474838128)	(100, 69.30556764750204)	(105, 72.62628345239196)	(110, 75.53814139377737)	(115, 78.05579361300396)	(120, 80.25654484738503)	(125, 82.13230901443266)	(130, 83.76406605569183)	(135, 85.13998028599397)	(140, 85.8957636573391)
231-MLH1KO-3_S15_L002_R2_001 - polyg	(1, 0.22154710466563754)	(2, 0.22170935660221333)	(3, 0.22238408721651026)	(4, 0.22317753876000895)	(5, 0.22436276936987362)	(6, 0.2254827034686773)	(7, 0.22612775385067377)	(8, 0.22669761431084243)	(9, 0.2274119185682066)	(10, 0.229241803823637)	(15, 0.2306767441212562)	(20, 0.23135622357272112)	(25, 0.23188928054483723)	(30, 0.23230322085132088)	(35, 0.23268827239836537)	(40, 0.23314772239437637)	(45, 0.23356443285587472)	(50, 0.23397758168949698)	(55, 0.23440497703462343)	(60, 0.23488579679789073)	(65, 0.23534485105747108)	(70, 0.2357667060925681)	(75, 0.23948821148661398)	(80, 0.2412464684480927)	(85, 0.241707897126257)	(90, 0.24223580952477436)	(95, 0.24332843780986163)	(100, 0.2555020818902145)	(105, 0.34241411253097825)	(110, 0.8261567850752278)	(115, 3.3443171298787973)	(120, 8.362637352200359)	(125, 14.040620128484539)	(130, 20.561827802098858)	(135, 26.94686731875588)	(140, 30.79816001555086)
231-MLH1KO-3_S3_L001_R1_001 - nextera_transposase_sequence	(1, 0.004318976143677443)	(2, 0.004395145704185075)	(3, 0.004398386962079017)	(4, 0.004456729604169969)	(5, 0.0044599708620639104)	(6, 0.004464832748904824)	(7, 0.004472935893639678)	(8, 0.004484280296268474)	(9, 0.004503727843632125)	(10, 0.00454521594467458)	(15, 0.004644074310439805)	(20, 0.005530234218643492)	(25, 0.019660822133072145)	(30, 0.10859866986230923)	(35, 0.6780679101547297)	(40, 3.427506082666111)	(45, 8.504022862925632)	(50, 14.137551757013787)	(55, 20.58440171540981)	(60, 26.821061285396343)	(65, 33.34565962102013)	(70, 39.448352492111624)	(75, 45.481930724627446)	(80, 50.982592030372395)	(85, 56.15125388304722)	(90, 60.81242485650019)	(95, 65.07687591163418)	(100, 68.84901749126996)	(105, 72.19280706854818)	(110, 75.134852453646)	(115, 77.68261340160632)	(120, 79.91164233743378)	(125, 81.80920111760517)	(130, 83.46237002495072)	(135, 84.85512654932329)	(140, 85.62800968014635)
