"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010631","BP","GO:0010631","epithelial cell migration","66/1665","375/18888",3.99683814587303e-08,2.11868756623506e-05,1.7911189509209e-05,"PRSS3/SNAI2/HDAC9/HDAC7/ROCK1/PFN2/PTGS2/EDN1/MEF2C/PXN/SH3BP1/MMP9/FERMT1/CTSH/TGFB1/PIK3CG/PTN/TESK1/HDAC5/LPXN/CORO1C/ADTRP/SASH1/PPARD/SEMA5A/FGF1/WNT5A/PIK3R3/NRP2/GIPC1/SOX9/AMOT/STAT5A/RHOJ/KDR/DLL4/ROCK2/ETS1/GLUL/SMAD4/DUSP10/SLIT2/PLK2/NOTCH1/ADAM17/PTPRR/ANGPT1/STC1/FSTL1/TGFBR2/ADAMTS9/BMPER/MAPRE2/EFNA1/PTK2/ROBO1/HAS2/PRKCE/PIK3CD/PTPRM/PTPN11/CCBE1/NR2F2/ZNF580/TNFSF12/EPPK1",66
"GO:0090132","BP","GO:0090132","epithelium migration","66/1665","378/18888",5.46952457397262e-08,2.6577331492362e-05,2.24682312104507e-05,"PRSS3/SNAI2/HDAC9/HDAC7/ROCK1/PFN2/PTGS2/EDN1/MEF2C/PXN/SH3BP1/MMP9/FERMT1/CTSH/TGFB1/PIK3CG/PTN/TESK1/HDAC5/LPXN/CORO1C/ADTRP/SASH1/PPARD/SEMA5A/FGF1/WNT5A/PIK3R3/NRP2/GIPC1/SOX9/AMOT/STAT5A/RHOJ/KDR/DLL4/ROCK2/ETS1/GLUL/SMAD4/DUSP10/SLIT2/PLK2/NOTCH1/ADAM17/PTPRR/ANGPT1/STC1/FSTL1/TGFBR2/ADAMTS9/BMPER/MAPRE2/EFNA1/PTK2/ROBO1/HAS2/PRKCE/PIK3CD/PTPRM/PTPN11/CCBE1/NR2F2/ZNF580/TNFSF12/EPPK1",66
"GO:0034329","BP","GO:0034329","cell junction assembly","75/1665","453/18888",6.8299982961023e-08,3.06351692804404e-05,2.58986898952608e-05,"SNAI2/PRKCH/CDH10/EPHA3/GPM6B/HDAC7/COL17A1/ROCK1/SDK2/TESK2/GPC4/CAMSAP3/TNS1/MEF2C/EPB41L3/SLC9A1/ITGA6/SORBS1/SH3BP1/SMAD7/CORO2B/ZDHHC2/ICAM5/SPOCK2/DKK1/CNTNAP1/CORO1C/PCDHB2/PCDHB3/PCDHB5/PCDHB6/WNT5A/STRN/RAB29/PCDH17/IL1B/FLRT3/SIX1/KDR/FGF13/AFDN/EPHB2/LARGE1/ROCK2/LRP4/EPHA7/AMIGO2/CDH11/GABRA6/KIRREL3/CNTN5/ADGRL3/DLG5/LGI2/F11R/CLDN14/SHANK2/PDLIM5/RYK/IL1RAPL1/PTK2/DSCAM/BCL2/PEAK1/AMIGO3/SLITRK1/CDH4/NRXN1/ZNF703/ROBO2/BCR/DNER/VSTM5/CLDN7/CLSTN3",75
"GO:0001822","BP","GO:0001822","kidney development","58/1665","319/18888",8.32942536275592e-08,3.46920566358784e-05,2.93283450930722e-05,"CYP26B1/CRLF1/ADAMTS6/SEC61A1/GLI2/RARB/EDN1/ARG2/MEF2C/BAG6/MMP9/JAG1/SMAD7/CTSH/CALB1/LZTS2/WFS1/PTK7/FGF1/WNT5A/MPV17/ODC1/SDC1/EPCAM/EGR1/BICC1/SOX9/BMP2/GLIS2/SIX1/PODXL/LRP4/EPHA7/MYC/TFAP2A/FRAS1/SMAD4/OSR1/SLIT2/KLHL3/NOTCH1/KIRREL3/DLG5/ANGPT1/IL6R/BMPER/DCHS1/SERPINB7/PCSK9/HAS2/PDGFD/BCL2/SMAD2/MAGED1/EXT1/NOG/ROBO2/PBX1",58
"GO:0090130","BP","GO:0090130","tissue migration","66/1665","383/18888",9.12393827166225e-08,3.54677893747084e-05,2.99841424043469e-05,"PRSS3/SNAI2/HDAC9/HDAC7/ROCK1/PFN2/PTGS2/EDN1/MEF2C/PXN/SH3BP1/MMP9/FERMT1/CTSH/TGFB1/PIK3CG/PTN/TESK1/HDAC5/LPXN/CORO1C/ADTRP/SASH1/PPARD/SEMA5A/FGF1/WNT5A/PIK3R3/NRP2/GIPC1/SOX9/AMOT/STAT5A/RHOJ/KDR/DLL4/ROCK2/ETS1/GLUL/SMAD4/DUSP10/SLIT2/PLK2/NOTCH1/ADAM17/PTPRR/ANGPT1/STC1/FSTL1/TGFBR2/ADAMTS9/BMPER/MAPRE2/EFNA1/PTK2/ROBO1/HAS2/PRKCE/PIK3CD/PTPRM/PTPN11/CCBE1/NR2F2/ZNF580/TNFSF12/EPPK1",66
"GO:0007015","BP","GO:0007015","actin filament organization","76/1665","467/18888",1.1544586182588e-07,4.20728012691692e-05,3.55679586138551e-05,"TENM1/RUFY3/TMSB10/CAPG/ARHGEF5/CYFIP2/CTNNA2/ROCK1/PFN2/PXN/SLC9A1/SORBS1/SH3BP1/PLS3/CORO2B/ARHGEF18/PIK3R2/COBL/TESK1/PDLIM1/CSF3/CORO1C/ARPC3/NEDD9/PHACTR1/SEMA5A/DBN1/RGS4/WASHC3/NCKAP1L/RHOJ/AIF1L/HIP1R/CAP1/WASF3/ROCK2/FHOD3/WASHC4/LCP1/LIMD2/SPTBN5/ACTR2/RHOF/TPM1/TAGLN3/SLIT2/ARHGAP18/C9orf72/ADD3/PSTPIP2/JMY/CYRIB/FMN2/ELMO1/NCK1/RHPN1/TMSB15B/F11R/SHANK1/HSP90B1/TPM4/CDC42EP5/MYO7B/PRKCE/PTGER4/BCL2/SYNPO/MYO1D/PAWR/HCLS1/KIRREL1/ESPN/SHTN1/SH3D21/TWF2/ASAP3",76
"GO:0050808","BP","GO:0050808","synapse organization","79/1665","493/18888",1.2651465728214e-07,4.33945274477739e-05,3.66853337493659e-05,"FYN/CDH10/CTNNA2/ROCK1/SDK2/PFN2/GPC4/MEF2C/CHMP2B/IGSF9/LZTS3/CHRDL1/ZDHHC2/ICAM5/SPOCK2/DKK1/CNTNAP1/CAPRIN2/NEDD9/PTK7/PCDHB2/PCDHB3/PCDHB5/PCDHB6/DBN1/WNT5A/RAB29/NRP2/PCDH17/FLRT3/SIX1/FGF13/HIP1R/WASF3/EPHB2/LARGE1/LRP4/EPHA7/UNC13C/AMIGO2/PPFIA2/AFG3L2/PTPRF/TMEM108/GABRA6/KIRREL3/CNTN5/ADGRL3/GPR158/ANK3/DLG5/LGI2/SHANK1/SHANK2/DISC1/PDLIM5/RYK/EFNA1/IL1RAPL1/CTNND2/FRMPD4/ZNF804A/DSCAM/SYNPO/AMIGO3/SLITRK1/NRXN1/ROBO2/DNER/COL4A5/RELN/ARC/L1CAM/DCTN1/VSTM5/SRCIN1/NFATC4/ADGRL1/CLSTN3",79
"GO:0061138","BP","GO:0061138","morphogenesis of a branching epithelium","40/1665","189/18888",1.44241006392315e-07,4.6726072681866e-05,3.95017913997199e-05,"SNAI2/TIE1/GLI2/CELSR1/EDN1/TMED2/LAMA1/ESRP2/CTSH/ENG/AREG/FGF1/WNT5A/MSX2/SOX9/BMP2/SIX1/KDR/DLL4/FOXA1/MYC/DDR1/LEF1/SMAD4/SLIT2/NOTCH1/ADM/DLG5/TGFBR2/HHIP/TBX20/DCHS1/AR/BCL2/MAGED1/EXT1/NOG/PBX1/PPP3R1/NFATC4",40
"GO:0016358","BP","GO:0016358","dendrite development","46/1665","235/18888",2.00677154690999e-07,6.15867625791165e-05,5.20648817406065e-05,"FYN/PREX2/NEDD4L/CTNNA2/MAP2/MEF2C/GSK3B/IGSF9/LZTS3/MAPKAPK5/PTN/COBL/CPEB3/CAPRIN2/PHACTR1/DBN1/STRN/CAMSAP2/KLF7/BCL11A/OBSL1/MAP1S/DCLK1/EPHB2/LRP4/HECW2/PPFIA2/CARM1/DLG5/TNIK/SHANK1/DISC1/PDLIM5/FAT3/MAP1A/EFNA1/IL1RAPL1/SDC2/CTNND2/MAP6/DSCAM/FBXW8/RELN/ARC/SRCIN1/NFATC4",46
"GO:0072001","BP","GO:0072001","renal system development","58/1665","329/18888",2.48004461026705e-07,7.23057006123358e-05,6.11265732098978e-05,"CYP26B1/CRLF1/ADAMTS6/SEC61A1/GLI2/RARB/EDN1/ARG2/MEF2C/BAG6/MMP9/JAG1/SMAD7/CTSH/CALB1/LZTS2/WFS1/PTK7/FGF1/WNT5A/MPV17/ODC1/SDC1/EPCAM/EGR1/BICC1/SOX9/BMP2/GLIS2/SIX1/PODXL/LRP4/EPHA7/MYC/TFAP2A/FRAS1/SMAD4/OSR1/SLIT2/KLHL3/NOTCH1/KIRREL3/DLG5/ANGPT1/IL6R/BMPER/DCHS1/SERPINB7/PCSK9/HAS2/PDGFD/BCL2/SMAD2/MAGED1/EXT1/NOG/ROBO2/PBX1",58
"GO:0048813","BP","GO:0048813","dendrite morphogenesis","32/1665","140/18888",4.1039533279547e-07,0.000113953104072875,9.63349044351471e-05,"FYN/PREX2/NEDD4L/CTNNA2/MAP2/GSK3B/LZTS3/PTN/CAPRIN2/PHACTR1/DBN1/KLF7/OBSL1/DCLK1/EPHB2/LRP4/HECW2/PPFIA2/TNIK/SHANK1/PDLIM5/EFNA1/IL1RAPL1/SDC2/CTNND2/MAP6/DSCAM/FBXW8/RELN/ARC/SRCIN1/NFATC4",32
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","59/1665","344/18888",5.11305529026587e-07,0.000135519206352456,0.000114566688633087,"TENM1/TMSB10/CAPG/EPHA3/GPM6B/ARHGEF5/CYFIP2/CTNNA2/ROCK1/PFN2/CELSR1/EDN1/PXN/SLC9A1/SH3BP1/CORO2B/ARHGEF18/PIK3R2/TESK1/CSF3/ARPC3/NEDD9/SEMA5A/IL1A/RGS4/WASHC3/NCKAP1L/LRP1/BST2/HIP1R/WASF3/ROCK2/FHOD3/WASHC4/SPTBN5/RHOF/TPM1/SMAD4/ARHGEF19/SLIT2/EPHA5/ARHGAP18/C9orf72/ADD3/CYRIB/NCK1/RHPN1/TMSB15B/F11R/SHANK1/CDC42EP5/PRKCE/PTGER4/SYNPO/HCLS1/KIRREL1/SIGLEC15/TWF2/ASAP3",59
"GO:0006024","BP","GO:0006024","glycosaminoglycan biosynthetic process","21/1665","72/18888",5.92137967311393e-07,0.000150119847277945,0.000126909935968845,"ST3GAL1/ST3GAL6/CEMIP/TGFB1/NFKB1/DSE/GCNT2/B4GALT4/CHST3/CHPF/IL1B/CHST7/CHST9/ANGPT1/B3GNT7/CHST14/HAS2/CHST11/B3GNT3/EXT1/CHSY3",21
"GO:0001837","BP","GO:0001837","epithelial to mesenchymal transition","38/1665","187/18888",8.5964153096632e-07,0.000208857073627692,0.000176565846031372,"FUZ/SNAI2/EPHA3/ROCK1/EDN1/GSK3B/JAG1/SMAD7/TGFB1/ENG/GCNT2/WNT5A/LOXL3/TRIM62/MSX2/SOX9/IL1B/BMP2/FOXA1/ROCK2/LEF1/SLC39A6/SMAD4/NOTCH1/DLG5/ADAM8/KBTBD8/TGFBR2/TBX20/LDLRAD4/EFNA1/PTK2/APLF/HAS2/SMAD2/NOG/ZNF703/PPP3R1",38
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","50/1665","279/18888",9.96505037650989e-07,0.000225543635847316,0.000190672512013464,"TENM1/ATP2C1/CDH10/DSG2/SDK2/CELSR1/GPC4/IGSF9/FXYD5/ICAM1/CADM4/PTK7/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDH17/BMP2/FLRT3/AMIGO2/CDH11/PTPRF/IGSF11/TENM2/TENM4/KIRREL3/MPZL2/ADGRL3/ROBO4/CLDN14/TGFBR2/FAT3/DCHS1/IL1RAPL1/PCDH7/ROBO1/DSCAM/PTPRM/AMIGO3/SLITRK1/CDH4/PCDH9/ROBO2/PCDH18/L1CAM/PCDHA11/PCDHA12/CLDN7/ADGRL1/CLSTN3",50
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","57/1665","335/18888",1.03382799755039e-06,0.000225543635847316,0.000190672512013464,"FUZ/TIE1/GLI2/CELSR1/EDN1/MEF2C/TMED2/KDM2B/LAMA1/ESRP2/CTSH/TGFB1/COBL/ENG/LZTS2/AREG/PTK7/FGF1/WNT5A/MSX2/CXCR4/SOX9/BMP2/SIX1/KDR/PODXL/DLL4/FOXA1/EPHA7/MYC/DDR1/LEF1/SMAD4/OSR1/SLIT2/KLHL3/NOTCH1/ADM/DLG5/ADAMTS12/CDK20/TGFBR2/HHIP/TBX20/DCHS1/AR/PIK3CD/BCL2/RPS7/MAGED1/SCRIB/EXT1/NOG/PBX1/RYR2/PPP3R1/NFATC4",57
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","72/1665","460/18888",1.12007043602165e-06,0.000225543635847316,0.000190672512013464,"KDM1A/FYN/RUFY3/CNTN1/EPHA3/NEDD4L/CTNNA2/NEO1/PLXNA2/MAP2/GSK3B/LZTS3/ITGA6/PTN/COBL/DKK1/CAPRIN2/PTK7/SEMA5A/DBN1/WNT5A/DGUOK/PRRX1/RAB29/CAMSAP2/FKBP1B/BCL11A/OBSL1/FGF13/ATP8A2/EPHB2/LRP4/EPHA7/SKIL/DDR1/HECW2/PPFIA2/CARM1/PTPRF/CRABP2/SLIT2/CAMK2G/SPOCK1/TNIK/NCK1/DISC1/PDLIM5/RYK/FAT3/SHOX2/EFNA1/IL1RAPL1/SDC2/ROBO1/ZNF804A/MAP6/DSCAM/ADCY6/FBXW8/AMIGO3/SLITRK1/CDH4/FES/ROBO2/RTN4RL2/SHTN1/RELN/ARC/L1CAM/TWF2/SRCIN1/NFATC4",72
"GO:0060485","BP","GO:0060485","mesenchyme development","57/1665","336/18888",1.14042376975329e-06,0.000225543635847316,0.000190672512013464,"FUZ/SNAI2/EPHA3/ROCK1/EDN1/MEF2C/GSK3B/EFNB1/JAG1/SMAD7/FGF9/TGFB1/ENG/DKK1/CORO1C/GCNT2/PTK7/SEMA5A/WNT5A/LOXL3/TRIM62/NRP2/MSX2/SOX9/IL1B/BMP2/SIX1/FOXA1/ROCK2/MYC/LEF1/SLC39A6/SMAD4/OSR1/NOTCH1/DLG5/ADAM8/KBTBD8/POGLUT1/TGFBR2/TBX20/DCHS1/LDLRAD4/EFNA1/PTK2/APLF/ROBO1/HAS2/BCL2/RPS7/SMAD2/EXT1/NOG/ZNF703/ROBO2/ZFP36L1/PPP3R1",57
"GO:0007411","BP","GO:0007411","axon guidance","44/1665","234/18888",1.16040285978726e-06,0.000225543635847316,0.000190672512013464,"FYN/LYPLA2/CNTN1/NRXN3/EPHA3/CYFIP2/NEO1/GLI2/EDN1/IGSF9/EFNB1/PTK7/SEMA5A/WNT5A/SOS1/NRP2/KLF7/FLRT3/FEZF1/EPHB2/EPHA7/SMAD4/SLIT2/EPHA5/NOTCH1/CNTN5/ADAM17/ROBO4/KALRN/RYK/DRGX/EFNA1/PTK2/ROBO1/FEZ2/DSCAM/PTPRM/CDH4/NRXN1/EXT1/NOG/ROBO2/RELN/L1CAM",44
"GO:0097485","BP","GO:0097485","neuron projection guidance","44/1665","234/18888",1.16040285978726e-06,0.000225543635847316,0.000190672512013464,"FYN/LYPLA2/CNTN1/NRXN3/EPHA3/CYFIP2/NEO1/GLI2/EDN1/IGSF9/EFNB1/PTK7/SEMA5A/WNT5A/SOS1/NRP2/KLF7/FLRT3/FEZF1/EPHB2/EPHA7/SMAD4/SLIT2/EPHA5/NOTCH1/CNTN5/ADAM17/ROBO4/KALRN/RYK/DRGX/EFNA1/PTK2/ROBO1/FEZ2/DSCAM/PTPRM/CDH4/NRXN1/EXT1/NOG/ROBO2/RELN/L1CAM",44
"GO:0072132","BP","GO:0072132","mesenchyme morphogenesis","18/1665","58/18888",1.37551857806654e-06,0.000258730607377613,0.00021872847202328,"SNAI2/ENG/WNT5A/MSX2/SOX9/BMP2/MYC/LEF1/SMAD4/OSR1/NOTCH1/TGFBR2/TBX20/DCHS1/ROBO1/SMAD2/NOG/ROBO2",18
"GO:0006023","BP","GO:0006023","aminoglycan biosynthetic process","21/1665","76/18888",1.57925894933125e-06,0.000287770591673453,0.000243278607227574,"ST3GAL1/ST3GAL6/CEMIP/TGFB1/NFKB1/DSE/GCNT2/B4GALT4/CHST3/CHPF/IL1B/CHST7/CHST9/ANGPT1/B3GNT7/CHST14/HAS2/CHST11/B3GNT3/EXT1/CHSY3",21
"GO:0003272","BP","GO:0003272","endocardial cushion formation","12/1665","28/18888",1.68570999832388e-06,0.000297859848491714,0.000251807971998429,"SNAI2/ENG/MSX2/BMP2/SMAD4/NOTCH1/TGFBR2/TBX20/DCHS1/ROBO1/NOG/ROBO2",12
"GO:0048762","BP","GO:0048762","mesenchymal cell differentiation","48/1665","269/18888",1.84901681225364e-06,0.000310377014151897,0.000262389868538092,"FUZ/SNAI2/EPHA3/ROCK1/EDN1/MEF2C/GSK3B/EFNB1/JAG1/SMAD7/TGFB1/ENG/CORO1C/GCNT2/SEMA5A/WNT5A/LOXL3/TRIM62/NRP2/MSX2/SOX9/IL1B/BMP2/SIX1/FOXA1/ROCK2/LEF1/SLC39A6/SMAD4/OSR1/NOTCH1/DLG5/ADAM8/KBTBD8/TGFBR2/TBX20/LDLRAD4/EFNA1/PTK2/APLF/HAS2/BCL2/RPS7/SMAD2/EXT1/NOG/ZNF703/PPP3R1",48
"GO:0048588","BP","GO:0048588","developmental cell growth","44/1665","238/18888",1.86300728782651e-06,0.000310377014151897,0.000262389868538092,"RUFY3/NEDD4L/CYFIP2/CTDP1/SYT1/MAP2/EDN1/RIMS1/GSK3B/SMAD7/SYT17/COBL/SEMA5A/WNT5A/RGS4/NRP2/BCL11A/CXCR4/SOX9/FLRT3/FGF13/DCLK1/EPHA7/DDR1/CRABP2/MEIS1/TMEM108/SLIT2/C9orf72/IMPACT/NPR2/DISC1/PDLIM5/TGFBR2/RYK/DCAF13/DSCAM/MEX3C/CDH4/EXT1/SHTN1/ITSN2/L1CAM/TWF2",44
"GO:0007416","BP","GO:0007416","synapse assembly","40/1665","208/18888",1.95506017706429e-06,0.000315998983415289,0.000267142629563187,"SDK2/GPC4/MEF2C/ZDHHC2/ICAM5/SPOCK2/DKK1/PCDHB2/PCDHB3/PCDHB5/PCDHB6/WNT5A/RAB29/PCDH17/FLRT3/SIX1/FGF13/EPHB2/LARGE1/LRP4/EPHA7/AMIGO2/GABRA6/KIRREL3/CNTN5/ADGRL3/DLG5/LGI2/SHANK2/PDLIM5/RYK/IL1RAPL1/DSCAM/AMIGO3/SLITRK1/NRXN1/ROBO2/DNER/VSTM5/CLSTN3",40
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","75/1665","493/18888",2.01883025105282e-06,0.000315998983415289,0.000267142629563187,"FYN/NCDN/APBA2/RNF19A/SLC12A2/SNCAIP/SYT1/PFN2/PTGS2/EDN1/RIMS1/MEF2C/GSK3B/CHMP2B/SYNGR1/CHRDL1/ZDHHC2/CALB1/PLAT/GRIN2D/PTN/CPEB3/DKK1/GIT1/MPP2/USP46/ASIC1/DBN1/BCHE/WNT5A/RGS4/PCDH17/GIPC1/IL1B/AKAP12/SYT11/EPHB2/LARGE1/SLC38A2/EPHA7/DYSF/UNC13C/PPFIA2/MCTP2/CDH11/ARRB2/CACNG8/IGSF11/TMEM108/PLK2/TMEM25/GPR158/SORCS3/SHANK1/SHANK2/DISC1/UCN/GPER1/MAP1A/PRRT2/KISS1/PRKCE/ATP2A2/NRXN1/PLCB1/NOG/SYN3/BCR/RELN/ARC/PPP3R1/CALB2/PLCL2/NFATC4/CLSTN3",75
"GO:0003158","BP","GO:0003158","endothelium development","31/1665","143/18888",2.07253890850098e-06,0.000315998983415289,0.000267142629563187,"TIE1/ROCK1/EDN1/ICAM1/JAG1/FGF1/HOXB5/CXCR4/IL1B/KDR/DLL4/AFDN/KDM6B/BTG1/ROCK2/SMAD4/MSN/NOTCH1/ADAMTS12/ROBO4/XDH/F11R/STC1/FSTL1/MYD88/HPSE/HEG1/PLCB1/NR2F2/COL27A1/S1PR3",31
"GO:0051960","BP","GO:0051960","regulation of nervous system development","72/1665","468/18888",2.13342520387604e-06,0.000315998983415289,0.000267142629563187,"KDM1A/TMEM98/RUFY3/RNF10/PRKCH/VCAN/KDM4A/PLXNA2/RARB/MAP2/TGFB1/PTN/PTPRZ1/DKK1/CAPRIN2/FIG4/SEMA5A/DBN1/WNT5A/CXCR4/BHLHE41/OBSL1/MYRF/IL1B/BMP2/FLRT3/NR1D1/FEZF1/DLL4/FGF13/WASF3/EPHB2/LPIN1/LRP4/EPHA7/APPL2/SKIL/LEF1/AMIGO2/MBD1/CRABP2/DUSP10/SLIT2/NOTCH1/TENM4/DLG5/DISC1/RYK/GPER1/SHOX2/IL1RAPL1/ROBO1/MAP6/DSCAM/FBXW8/AMIGO3/SLITRK1/CDH4/NRXN1/ANXA2/NOG/ROBO2/PPP1CC/NAP1L1/SHTN1/RELN/YTHDF2/L1CAM/VSTM5/TWF2/NFATC4/CLSTN3",72
