"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070482","BP","GO:0070482","response to oxygen levels","44/1285","354/18888",7.84271958834558e-05,0.037756356842258,0.0354224640284157,"GUCY1B1/RORA/ATP6AP1/FOSL2/SCFD1/TGFB2/PICK1/TXN2/MAP1LC3A/RGCC/HMOX2/TBL2/SLC1A1/SOD3/CPT1A/VEGFA/EPAS1/MYB/PGF/TGFB3/CAT/NDP/LIF/AJUBA/PARP2/EGLN3/PPARG/SLC2A8/CPEB2/CYP1A1/TP53/COL6A1/CCNA2/NR4A2/LMNA/ADORA1/CLDN3/AQP3/DDIT4/UCP2/MTHFR/P4HB/LONP1/CD24",44
"GO:0046580","BP","GO:0046580","negative regulation of Ras protein signal transduction","8/1285","23/18888",8.74470552773059e-05,0.037756356842258,0.0354224640284157,"TGFB2/LZTR1/DAB2IP/RABGEF1/SPRY1/FBP1/SPRY3/SPRY4",8
"GO:0001755","BP","GO:0001755","neural crest cell migration","13/1285","57/18888",9.20219178599437e-05,0.037756356842258,0.0354224640284157,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/FN1/BMP4/LAMA5/SEMA6C/SEMA3D/RADIL/SEMA3E/SEMA4B",13
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","28/1285","191/18888",9.79049816246735e-05,0.037756356842258,0.0354224640284157,"GCLC/OSBPL5/CTNS/MGST2/CRAT/GGT5/GGT1/ABHD12/SLC1A1/CPT1A/NDP/GLO1/EGLN3/SLC6A8/GSTM1/GSTM3/GGACT/DUOX1/ARL6IP5/SLC7A11/G6PD/CKB/GSTA4/MTHFR/DHFR2/OPLAH/SLC25A42/P4HB",28
"GO:1901657","BP","GO:1901657","glycosyl compound metabolic process","16/1285","83/18888",0.000129216142378072,0.0425469584097691,0.0399169366389115,"FUCA2/ENPP4/PRTFDC1/APOBEC3F/NT5E/CDA/TK1/GUSB/GBA1/DHFR2/APOBEC3B/TRMT12/TYW1/APOBEC3D/APOBEC3C/TYW1B",16
"GO:0071526","BP","GO:0071526","semaphorin-plexin signaling pathway","11/1285","44/18888",0.000131505471423206,0.0425469584097691,0.0399169366389115,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/SEMA6C/SEMA3D/PLXNB1/SEMA3E/SEMA4B/PLXNB3",11
"GO:0090497","BP","GO:0090497","mesenchymal cell migration","13/1285","59/18888",0.00013396893738953,0.0425469584097691,0.0399169366389115,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/FN1/BMP4/LAMA5/SEMA6C/SEMA3D/RADIL/SEMA3E/SEMA4B",13
"GO:0048846","BP","GO:0048846","axon extension involved in axon guidance","10/1285","38/18888",0.000167063587380903,0.0466700434612517,0.0437851549771484,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/VEGFA/SEMA6C/SEMA3D/SEMA3E/SEMA4B",10
"GO:1902284","BP","GO:1902284","neuron projection extension involved in neuron projection guidance","10/1285","38/18888",0.000167063587380903,0.0466700434612517,0.0437851549771484,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/VEGFA/SEMA6C/SEMA3D/SEMA3E/SEMA4B",10
"GO:0016052","BP","GO:0016052","carbohydrate catabolic process","24/1285","158/18888",0.000172884028380262,0.0466700434612517,0.0437851549771484,"SIRT6/PYGL/PYGB/GALK1/ALDOC/MANBA/GPD2/STBD1/PFKFB2/TP53/PFKL/COL6A1/NEU3/LRP5/PRKAA2/FBP1/DDIT4/INSR/RBKS/GAA/UCP2/ZBTB7A/OGDHL/SLC2A6",24
"GO:1900025","BP","GO:1900025","negative regulation of substrate adhesion-dependent cell spreading","6/1285","14/18888",0.000182920886092974,0.0470280887626652,0.0441210678636287,"FBLN1/DMTN/MELTF/TACSTD2/EFNA5/SPRY4",6
"GO:0030517","BP","GO:0030517","negative regulation of axon extension","11/1285","46/18888",0.00020175764857667,0.0489941282731282,0.0459655774949148,"SEMA3F/SEMA3G/SEMA3B/RTN4R/SEMA3A/SEMA3C/PTPRS/SEMA6C/SEMA3D/SEMA3E/SEMA4B",11
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","38/1285","304/18888",0.000208717345857001,0.0489941282731282,0.0459655774949148,"RTN4R/RASGRF1/ARHGEF10L/TGFB2/LZTR1/SOS2/SIPA1L2/IQSEC2/F2RL3/CGNL1/EPS8L1/DOCK2/DAB2IP/GARNL3/FLOT1/VAV1/ARHGAP26/EPS8/PLEKHG4B/RABGEF1/TIAM1/ABR/PLXNB1/SPRY1/F2RL1/DLC1/FBP1/SPRY3/RALGAPA1/EPS8L2/ARHGAP45/F2R/CSF1/SPRY4/PLEKHG4/SRGAP3/STMN3/TGM2",38
"GO:0030215","MF","GO:0030215","semaphorin receptor binding","10/1311","23/18522",1.48665805025484e-06,0.000763818561509283,0.000731642045734507,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/SEMA6C/SEMA3D/PLXNB1/SEMA3E/SEMA4B",10
"GO:0045499","MF","GO:0045499","chemorepellent activity","11/1311","28/18522",1.49475256655437e-06,0.000763818561509283,0.000731642045734507,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/SEMA6C/SEMA3D/NRG1/SEMA3E/EFNA5/SEMA4B",11
"GO:0051010","MF","GO:0051010","microtubule plus-end binding","8/1311","21/18522",5.44938701406646e-05,0.0185642450945864,0.0177822102564274,"MAPRE3/CLIP2/KIF18A/KNSTRN/NUMA1/DST/STIM1/CKAP5",8
"GO:0019887","MF","GO:0019887","protein kinase regulator activity","33/1311","232/18522",9.68382530148655e-05,0.0247421736452981,0.0236998882378487,"GPRC5A/LTK/TRIB2/PDE8A/DELE1/RGCC/HSPB1/ELP4/VEGFA/CDKN2C/EREG/AJUBA/DAB2IP/EGF/CCNA2/CCNB3/MBIP/ACSL1/NRG1/CCNB2/CALM3/CAMK2N1/GRM5/AFAP1L2/YWHAG/GPRC5C/MOB3A/CCNE2/EFNA5/SPRY4/CSNK2B/CD24/IBTK",33
